Customer ID,Recency,Frequency,Monetary,Average Quantity Per Order,Average Unit Price,Average Discount %,Payment Method Diversity,Product Category Diversity,Cluster
1,789,1,1950.0,1.0,1950.0,0.0,1,1,0
2,642,2,510.0,1.0,255.0,0.0,2,2,0
3,467,5,3695.0,1.0,739.0,0.0,1,3,0
4,2,272,701007.0,1.15,2795.04,2.78,4,13,1
5,789,1,1110.0,2.0,555.0,0.0,1,1,0
6,789,2,250.0,1.0,125.0,0.0,1,1,0
10,789,2,366.0,1.0,183.0,0.0,1,1,0
11,561,6,4445.0,2.67,649.17,0.0,2,3,0
12,648,3,4103.0,1.0,1367.67,0.0,2,2,0
13,596,138,105981.8,1.17,732.15,0.8,4,9,1
14,470,6,4307.25,1.0,717.88,0.0,1,2,0
15,232,30,14369.0,1.17,439.87,0.0,2,8,1
16,373,142,120187.65,1.32,823.28,0.28,4,11,1
17,789,1,1913.0,1.0,1913.0,0.0,1,1,0
18,789,1,3000.0,2.0,1500.0,0.0,1,1,0
19,645,11,5726.0,1.0,520.55,0.0,1,5,0
20,4,212,712676.14,1.3,3621.07,2.96,4,11,1
21,240,21,75464.25,1.33,3582.05,0.24,2,5,1
22,789,2,940.0,1.0,470.0,0.0,1,2,0
23,55,42,37967.15,1.05,857.79,0.0,1,8,1
24,789,1,899.0,1.0,899.0,0.0,1,1,0
25,789,2,11000.0,1.0,5500.0,0.0,1,2,0
27,551,2,3616.0,1.0,1808.0,0.0,1,2,0
28,133,142,114658.0,1.31,725.21,0.07,3,10,1
29,789,1,350.0,1.0,350.0,0.0,1,1,0
30,727,2,885.0,1.5,327.5,0.0,1,1,0
31,789,1,850.0,1.0,850.0,0.0,1,1,0
32,15,402,1283189.14,1.14,3501.59,7.02,4,12,1
33,57,635,1015680.39,1.22,1637.04,1.87,4,13,1
34,720,4,1135.0,1.0,283.75,0.0,1,2,0
35,632,938,765674.5,1.04,834.23,0.34,4,12,1
36,473,721,835246.3,1.1,1125.68,0.58,4,13,1
37,642,2,1449.0,1.5,549.5,0.0,1,2,0
38,748,5,2244.0,1.2,379.0,0.0,1,1,0
39,789,1,288.0,2.0,144.0,0.0,1,1,0
40,760,2,9900.0,1.0,4950.0,0.0,1,1,0
41,317,2,3004.0,1.0,1502.0,0.0,1,2,0
42,478,248,235898.1,1.21,902.1,0.79,3,11,1
43,436,255,115139.69,1.21,396.75,0.0,2,12,1
44,85,319,491721.07,1.05,1620.35,0.89,4,11,1
45,789,1,1875.0,1.0,1875.0,0.0,1,1,0
46,754,1,90.0,1.0,90.0,0.0,1,1,0
47,274,77,238757.35,1.18,3466.48,8.5,4,12,1
48,453,10,6240.0,1.1,604.1,0.0,1,4,0
49,789,4,1390.0,1.0,347.5,0.0,1,1,0
51,789,1,350.0,1.0,350.0,0.0,1,1,0
52,507,12,14814.0,1.0,1234.5,0.0,2,3,0
53,777,5,1200.0,1.2,188.0,0.0,1,1,0
54,62,25,78941.08,1.6,3184.88,2.37,4,8,1
55,522,8,13630.87,1.0,2201.75,19.0,3,3,1
56,56,618,942791.51,1.55,1433.53,0.9,4,13,1
57,704,5,1424.0,1.0,284.8,0.0,1,2,0
58,93,659,612194.94,1.24,963.0,3.01,4,13,1
59,391,269,247887.9,1.17,957.99,2.14,3,13,1
61,545,21,12630.0,1.0,601.43,0.0,2,5,1
62,329,4,5849.0,1.0,1462.25,0.0,1,2,0
63,491,28,13262.5,1.0,473.66,0.0,2,4,1
64,116,328,1304614.82,1.22,4196.3,3.77,4,12,1
65,789,3,920.0,1.0,306.67,0.0,1,1,0
66,435,213,462238.75,1.04,2389.75,2.2,4,13,1
67,789,1,450.0,1.0,450.0,0.0,1,1,0
68,788,2,1050.0,1.5,350.0,0.0,1,1,0
69,613,2,439.0,1.0,219.5,0.0,1,2,0
70,148,13,11647.7,1.0,895.98,0.0,1,7,1
71,68,93,112165.37,1.83,1039.83,16.44,3,8,1
72,775,3,2450.0,1.0,816.67,0.0,2,1,0
73,476,128,414981.7,1.04,3294.77,1.58,4,13,1
74,645,3,2053.0,1.0,684.33,0.0,2,1,0
75,103,37,51394.41,1.81,1418.11,19.08,3,5,1
76,789,1,2670.0,2.0,1335.0,0.0,1,1,0
78,643,5,4506.75,1.0,1162.8,19.0,2,1,2
79,283,280,782518.33,1.06,3224.09,4.88,4,13,1
81,167,14,40129.3,1.07,2580.29,6.87,4,6,1
82,481,25,20860.29,1.0,836.93,1.6,2,11,1
83,685,5,1060.0,1.0,212.0,0.0,1,2,0
84,789,1,1350.0,1.0,1350.0,0.0,1,1,0
85,328,50,102917.73,1.6,2324.28,5.52,4,9,1
86,495,216,153445.9,1.06,704.67,0.23,3,10,1
87,789,1,995.0,1.0,995.0,0.0,1,1,0
88,281,13,6439.0,1.0,495.31,0.0,2,3,0
89,789,1,1099.0,1.0,1099.0,0.0,1,1,0
91,789,6,9013.0,1.0,1502.17,0.0,1,4,0
92,789,1,150.0,1.0,150.0,0.0,1,1,0
93,285,16,9207.0,1.19,545.0,0.12,3,3,1
94,546,26,95735.12,2.04,4107.09,2.88,4,8,1
95,789,1,320.0,1.0,320.0,0.0,1,1,0
96,212,11,11049.0,1.0,1004.45,0.0,1,6,1
97,53,8,1994.0,1.0,249.25,0.0,1,2,0
98,118,49,17095.0,1.22,309.33,0.0,3,9,1
99,789,1,1065.0,1.0,1065.0,0.0,1,1,0
100,245,4,5588.0,1.0,1397.0,0.0,1,2,0
101,723,23,28373.0,1.04,1217.96,0.0,1,7,1
102,284,10,22564.05,1.3,2314.6,0.5,2,6,1
103,786,2,798.0,1.0,399.0,0.0,1,1,0
104,789,1,3250.0,1.0,3250.0,0.0,1,1,0
105,789,3,1927.0,1.0,642.33,0.0,1,2,0
106,568,45,67704.6,1.02,1498.44,0.89,3,9,1
107,789,1,350.0,1.0,350.0,0.0,1,1,0
108,757,2,3325.0,1.5,1580.0,0.0,1,2,0
109,789,1,144.0,1.0,144.0,0.0,1,1,0
110,789,1,285.0,1.0,285.0,0.0,1,1,0
111,54,58,21667.4,1.19,358.5,1.61,3,7,1
112,789,1,3250.0,1.0,3250.0,0.0,1,1,0
113,789,3,1125.0,1.0,375.0,0.0,3,1,0
114,81,335,652748.39,1.24,2047.47,2.13,4,12,1
115,789,1,1725.0,1.0,1725.0,0.0,1,1,0
118,789,1,1350.0,1.0,1350.0,0.0,1,1,0
119,789,2,3749.0,1.0,1874.5,0.0,1,1,0
120,681,1,1240.0,1.0,1240.0,0.0,1,1,0
121,789,1,428.0,1.0,428.0,0.0,1,1,0
122,785,4,2320.0,1.0,580.0,0.0,1,2,0
123,481,58,28400.0,1.03,481.9,0.0,1,7,1
124,501,3,3067.0,1.0,1022.33,0.0,1,2,0
125,644,2,1030.0,1.5,385.0,0.0,1,2,0
126,231,34,51022.1,1.26,1506.26,0.87,3,7,1
127,699,6,4970.0,2.5,450.0,0.0,1,1,0
128,789,1,540.0,1.0,540.0,0.0,1,1,0
129,789,2,1370.0,1.5,430.0,0.0,1,1,0
130,753,5,4094.0,1.2,739.0,0.0,2,3,0
131,278,2,4507.0,1.0,2253.5,0.0,2,2,0
132,246,23,56600.1,1.22,2537.65,4.53,2,7,1
133,786,4,572.0,1.0,143.0,0.0,1,2,0
134,789,1,1199.0,1.0,1199.0,0.0,1,1,0
135,195,13,12551.0,1.23,734.69,0.0,4,4,1
136,633,4,4145.0,1.0,1036.25,0.0,1,2,0
137,471,404,678859.48,1.28,1720.03,3.87,4,13,1
139,789,2,5445.0,1.0,2722.5,0.0,1,1,0
140,409,7,12932.0,1.71,1337.86,0.0,2,2,0
141,85,43,57438.25,1.74,1205.81,3.75,4,7,1
142,789,1,2880.0,3.0,960.0,0.0,1,1,0
143,558,20,9864.0,1.05,478.45,0.0,1,7,1
144,160,113,329086.05,1.12,3486.37,22.09,4,11,1
146,788,2,1020.0,1.0,510.0,0.0,2,1,0
147,789,1,350.0,1.0,350.0,0.0,1,1,0
148,580,97,158507.65,1.09,1763.84,1.34,3,11,1
149,789,1,564.0,3.0,188.0,0.0,1,1,0
151,305,18,5948.5,1.0,331.44,0.28,2,3,0
152,789,2,635.0,1.0,317.5,0.0,1,1,0
153,249,9,8571.0,1.22,792.33,0.0,1,3,0
154,789,2,1269.0,1.0,634.5,0.0,1,2,0
155,789,1,280.0,1.0,280.0,0.0,1,1,0
156,788,2,5900.0,1.0,2950.0,0.0,1,1,0
157,789,1,3000.0,1.0,3000.0,0.0,1,1,0
158,789,1,899.0,1.0,899.0,0.0,1,1,0
159,736,34,12956.0,1.0,381.06,0.0,2,3,0
160,775,3,4595.0,1.33,1201.67,0.0,1,2,0
161,781,2,1099.0,1.0,549.5,0.0,1,2,0
162,547,11,20908.0,3.27,1336.36,0.0,2,3,3
163,17,804,940922.17,1.17,1240.72,2.11,4,13,1
164,789,1,250.0,1.0,250.0,0.0,1,1,0
166,789,1,999.0,1.0,999.0,0.0,1,1,0
167,789,1,1765.0,1.0,1765.0,0.0,1,1,0
168,68,190,111582.52,1.16,662.33,24.49,4,9,1
169,789,1,999.0,1.0,999.0,0.0,1,1,0
170,789,1,1050.0,3.0,350.0,0.0,1,1,0
171,789,1,799.0,1.0,799.0,0.0,1,1,0
172,15,30,27418.24,1.17,867.8,1.15,3,8,1
174,214,38,69914.49,1.03,2213.86,18.19,4,11,1
175,706,2,1646.0,3.5,249.5,0.0,1,2,3
176,789,1,1315.0,1.0,1315.0,0.0,1,1,0
178,640,3,32924.15,1.0,12674.67,5.0,2,2,2
179,789,1,100.0,1.0,100.0,0.0,1,1,0
180,107,65,204888.11,1.08,3442.49,10.84,3,11,1
181,789,1,1798.0,2.0,899.0,0.0,1,1,0
182,789,3,5796.0,2.0,966.0,0.0,1,1,0
183,566,4,1746.0,1.0,436.5,0.0,1,3,0
184,629,4,1149.0,1.0,287.25,0.0,1,2,0
185,788,1,495.0,1.0,495.0,0.0,1,1,0
186,441,4,2460.0,1.0,615.0,0.0,2,2,0
187,784,4,1665.0,1.0,416.25,0.0,1,2,0
188,788,1,25999.0,1.0,25999.0,0.0,1,1,2
189,381,34,26599.45,1.18,1042.09,27.58,3,6,1
190,591,3,4079.0,1.0,1359.67,0.0,2,3,0
191,542,6,5417.0,1.0,902.83,0.0,1,3,0
192,788,1,2950.0,1.0,2950.0,0.0,1,1,0
193,782,2,440.0,1.0,220.0,0.0,1,1,0
195,788,2,4000.0,1.0,2000.0,0.0,1,2,0
197,788,1,2600.0,1.0,2600.0,0.0,1,1,0
198,788,1,1499.0,1.0,1499.0,0.0,1,1,0
199,301,16,11605.0,1.19,676.25,0.0,2,5,1
201,788,1,795.0,1.0,795.0,0.0,1,1,0
202,788,1,480.0,1.0,480.0,0.0,1,1,0
203,755,2,3400.0,1.0,1700.0,0.0,2,1,0
204,788,4,8130.0,1.0,2032.5,0.0,1,1,0
207,788,2,2147.0,1.0,1073.5,0.0,1,1,0
208,788,1,190.0,1.0,190.0,0.0,1,1,0
209,731,3,1090.0,1.0,363.33,0.0,1,1,0
210,96,77,89951.04,1.16,1422.18,24.53,4,10,1
211,775,2,380.0,1.5,130.0,0.0,1,1,0
212,744,2,799.0,1.0,399.5,0.0,2,2,0
213,559,9,5797.0,1.0,644.11,0.0,2,4,0
215,788,1,20104.0,1.0,20104.0,0.0,1,1,2
217,582,11,5173.0,1.0,470.27,0.0,1,4,0
219,2,201,191579.83,1.55,848.09,0.8,3,11,1
220,380,125,332674.5,1.19,2704.57,1.18,3,11,1
222,666,5,2189.0,1.0,437.8,0.0,1,4,0
223,646,4,3548.0,1.0,887.0,0.0,1,2,0
225,236,136,516659.0,1.26,3838.07,3.41,4,11,1
226,525,1,999.0,1.0,999.0,0.0,1,1,0
227,788,1,1690.0,1.0,1690.0,0.0,1,1,0
228,382,45,33051.95,1.02,770.6,0.44,4,8,1
229,788,1,495.0,3.0,165.0,0.0,1,1,0
230,36,394,537970.96,1.12,1445.18,1.18,4,13,1
232,257,9,7711.0,1.11,820.11,0.0,1,3,0
234,487,10,8795.0,1.0,879.5,0.0,1,4,0
235,658,3,5180.0,1.0,1726.67,0.0,2,3,0
236,272,20,92015.3,1.1,5578.3,9.72,3,8,1
237,734,8,1894.0,1.38,216.12,0.0,2,4,0
238,776,12,8882.9,1.0,740.24,0.0,1,4,0
239,788,1,775.0,1.0,775.0,0.0,1,1,0
240,788,4,11527.0,1.0,2881.75,0.0,1,3,0
241,82,32,13177.2,1.0,425.91,2.58,2,8,1
243,110,11,136039.85,1.18,12978.18,4.22,4,5,1
245,788,1,1160.0,1.0,1160.0,0.0,1,1,0
246,788,4,4108.0,1.0,1027.0,0.0,1,2,0
247,40,43,12479.0,1.12,282.3,0.0,1,9,1
248,181,6,5124.8,1.0,950.83,8.33,2,4,1
249,34,2,2976.0,1.0,1488.0,0.0,1,2,0
250,756,2,1179.0,1.0,589.5,0.0,1,2,0
251,415,141,192963.87,1.06,1273.2,0.57,4,10,1
252,404,9,5260.0,1.0,584.44,0.0,1,5,0
253,533,47,24112.4,1.09,631.36,15.69,4,9,1
254,788,1,350.0,1.0,350.0,0.0,1,1,0
256,2,21,21259.7,1.14,1014.52,0.48,4,5,1
257,530,7,7120.0,1.0,1017.14,0.0,1,4,0
